[19:09:20.114] [INFO] [Scheduler] [MAIN] Scheduler initialized.
[19:09:20.165] [INFO] [Scheduler] [MAIN] Parsed zone: Zone{zoneId=1, start=(0,0), end=(700,600)}
[19:09:20.166] [INFO] [Scheduler] [MAIN] Parsed zone: Zone{zoneId=2, start=(0,600), end=(650,1500)}
[19:09:20.166] [INFO] [Scheduler] [MAIN] Parsed zone: Zone{zoneId=3, start=(0,1500), end=(1000,1700)}
[19:09:20.166] [INFO] [Scheduler] [MAIN] Parsed zone: Zone{zoneId=4, start=(700,0), end=(1000,600)}
[19:09:20.166] [INFO] [Scheduler] [MAIN] Parsed zone: Zone{zoneId=5, start=(650,600), end=(1000,1500)}
[19:09:20.174] [INFO] [Scheduler] [SF] Thread initialized: listenToFire
[19:09:20.174] [INFO] [Scheduler] [SD] Listening to DroneSubsystem...
[19:09:20.175] [INFO] [Scheduler] [SP] Processing pending fire requests...
[19:09:20.175] [INFO] [Main] [MAIN] Scheduler is now online
[19:09:22.988] [DEBUG] [Scheduler] [SD] Received drone message: 0:[IDLE]:INIT:0:0:0
[19:09:23.001] [DEBUG] [Scheduler] [SD] Responding to drone with: ACK:0:[IDLE]:INIT:0:0:0
[19:09:23.017] [DEBUG] [Scheduler] [SD] Received drone message: 1:[IDLE]:INIT:0:0:0
[19:09:23.017] [DEBUG] [Scheduler] [SD] Responding to drone with: ACK:1:[IDLE]:INIT:0:0:0
[19:09:23.018] [DEBUG] [Scheduler] [SD] Received drone message: 2:[IDLE]:INIT:0:0:0
[19:09:23.018] [DEBUG] [Scheduler] [SD] Responding to drone with: ACK:2:[IDLE]:INIT:0:0:0
[19:09:23.245] [DEBUG] [Scheduler] [SD] Received drone message: 1:[IDLE]:NEW_FIRE_REQUEST:0:0:FireRequest{time=0, zone=-1, event=0, severity=0, id=0}
[19:09:23.288] [INFO] [Scheduler] [SD] Drone 1 transitioning to [IDLE] on task FireRequest{time=0, zone=-1, event=0, severity=0, id=0}
[19:09:23.289] [DEBUG] [Scheduler] [SD] Responding to drone with: WAIT:1:[IDLE]:NEW_FIRE_REQUEST:0:0:FireRequest{time=0, zone=-1, event=0, severity=0, id=0}
[19:09:23.350] [DEBUG] [Scheduler] [SD] Received drone message: 0:[IDLE]:NEW_FIRE_REQUEST:0:0:FireRequest{time=0, zone=-1, event=0, severity=0, id=0}
[19:09:23.351] [INFO] [Scheduler] [SD] Drone 0 transitioning to [IDLE] on task FireRequest{time=0, zone=-1, event=0, severity=0, id=0}
[19:09:23.351] [DEBUG] [Scheduler] [SD] Responding to drone with: WAIT:0:[IDLE]:NEW_FIRE_REQUEST:0:0:FireRequest{time=0, zone=-1, event=0, severity=0, id=0}
[19:09:23.456] [DEBUG] [Scheduler] [SD] Received drone message: 2:[IDLE]:NEW_FIRE_REQUEST:0:0:FireRequest{time=0, zone=-1, event=0, severity=0, id=0}
[19:09:23.456] [INFO] [Scheduler] [SD] Drone 2 transitioning to [IDLE] on task FireRequest{time=0, zone=-1, event=0, severity=0, id=0}
[19:09:23.456] [DEBUG] [Scheduler] [SD] Responding to drone with: WAIT:2:[IDLE]:NEW_FIRE_REQUEST:0:0:FireRequest{time=0, zone=-1, event=0, severity=0, id=0}
[19:09:23.899] [DEBUG] [Scheduler] [SD] Received drone message: 1:[IDLE]:STATUS:0:0:FireRequest{time=0, zone=-1, event=0, severity=0, id=0}
[19:09:23.900] [DEBUG] [Scheduler] [SD] Responding to drone with: ACK:1:[IDLE]:STATUS:0:0:FireRequest{time=0, zone=-1, event=0, severity=0, id=0}
[19:09:24.000] [DEBUG] [Scheduler] [SD] Received drone message: 0:[IDLE]:STATUS:0:0:FireRequest{time=0, zone=-1, event=0, severity=0, id=0}
[19:09:24.002] [DEBUG] [Scheduler] [SD] Responding to drone with: ACK:0:[IDLE]:STATUS:0:0:FireRequest{time=0, zone=-1, event=0, severity=0, id=0}
[19:09:24.106] [DEBUG] [Scheduler] [SD] Received drone message: 2:[IDLE]:STATUS:0:0:FireRequest{time=0, zone=-1, event=0, severity=0, id=0}
[19:09:24.106] [DEBUG] [Scheduler] [SD] Responding to drone with: ACK:2:[IDLE]:STATUS:0:0:FireRequest{time=0, zone=-1, event=0, severity=0, id=0}
[19:09:24.512] [DEBUG] [Scheduler] [SD] Received drone message: 1:[IDLE]:STATUS:0:0:FireRequest{time=0, zone=-1, event=0, severity=0, id=0}
[19:09:24.513] [DEBUG] [Scheduler] [SD] Responding to drone with: ACK:1:[IDLE]:STATUS:0:0:FireRequest{time=0, zone=-1, event=0, severity=0, id=0}
[19:09:24.614] [DEBUG] [Scheduler] [SD] Received drone message: 0:[IDLE]:STATUS:0:0:FireRequest{time=0, zone=-1, event=0, severity=0, id=0}
